period,residual
2002-03,0.21225903088707554
2002-04,0.06197262246332258
2002-05,0.724842129903017
2002-06,-0.6314193954946283
2002-07,-0.10070071080201615
2002-08,-0.7024497805311469
2002-09,0.6588555934097187
2002-10,0.24625361550724634
2002-11,-0.2271220087513086
2002-12,-1.44837780676702
2003-01,0.8174220634687686
2003-02,0.9145015815390742
2003-03,0.21379036787698524
2003-04,-0.6001736418897679
2003-05,0.3766972338245722
2003-06,-0.6168936583916533
2003-07,-0.09689976067637218
2003-08,-0.49937166219763185
2003-09,0.7744992416503145
2003-10,0.3130902622630316
2003-11,-0.24947432138978698
2003-12,-0.6705804362051673
2004-01,0.5221723549342236
2004-02,0.5654963527445744
2004-03,0.611614737028841
2004-04,0.15798898735051026
2004-05,-0.3514592760392219
2004-06,-0.5705308430596219
2004-07,-0.33603798574491606
2004-08,-0.16395224225414395
2004-09,0.5507088008911474
2004-10,-0.40519338160303064
2004-11,0.07712749248016237
2004-12,-0.2815433852171978
2005-01,-1.7149008939065737
2005-02,3.2526775326517985
2005-03,-0.8737675614940557
2005-04,0.6822977881267249
2005-05,-0.01674106720928492
2005-06,-0.6160648837977867
2005-07,-0.26623026174182485
2005-08,-0.3618066057210143
2005-09,1.3615355725970915
2005-10,-0.26216598986469464
2005-11,0.10207022094546048
2005-12,-0.802857614615089
2006-01,0.39561094465941693
2006-02,0.3437743207040995
2006-03,-0.1182336008789342
2006-04,0.4617051025614707
2006-05,-0.608071359528175
2006-06,-0.17198478380431936
2006-07,-0.5044290895166306
2006-08,-0.4498078350586745
2006-09,0.13281450879336276
2006-10,0.3993151141574778
2006-11,-0.08778018635729268
2006-12,-0.6605210332542875
2007-01,-1.0949811744566347
2007-02,2.16058817140064
2007-03,0.06250412867517952
2007-04,-0.018138833432061574
2007-05,0.6972427451365668
2007-06,0.788575718655018
2007-07,
2007-08,
2007-09,
2007-10,
2007-11,
2007-12,
2008-01,
2008-02,
2008-03,
2008-04,
2008-05,
2008-06,
2008-07,
2008-08,
2008-09,
2008-10,
2008-11,
2008-12,
2009-01,
2009-02,1.2594738052475343
2009-03,0.5958838394108277
2009-04,0.6770435035602276
2009-05,0.30665835206227143
2009-06,-0.515245106324226
2009-07,-0.9591295929499637
2009-08,-0.5268796584647042
2009-09,0.2795613430512951
2009-10,-0.2869825573309974
2009-11,-0.7304871275071534
2009-12,-0.20846247176384836
2010-01,-0.4095039838957675
2010-02,0.42742248411570216
2010-03,0.354351954536007
2010-04,0.46932221641154825
2010-05,-0.14700961215038788
2010-06,-0.2876415690565288
2010-07,-0.5015326831047986
2010-08,0.19244423687895917
2010-09,0.019446674006680098
2010-10,0.32693169256455334
2010-11,-0.3422376363829436
2010-12,-0.12857133292800782
2011-01,-1.0707986855690699
2011-02,0.11761720409619869
2011-03,-0.6567633329697387
2011-04,1.3506418069118098
2011-05,-1.0116705321862938
2011-06,-0.6402646106818715
2011-07,-1.021458143096492
2011-08,-0.6605519908378987
2011-09,0.5007547003466399
2011-10,0.046398527968243286
2011-11,0.22679727295000873
2011-12,-0.8053639003134023
2012-01,0.08907816447202066
2012-02,0.7884437711899501
2012-03,0.9789092959012038
2012-04,0.21974380990187825
2012-05,0.3521206234561163
2012-06,-0.6176197711724605
2012-07,-0.14629831334988097
2012-08,-0.36161291885155933
2012-09,0.6385751444101757
2012-10,0.400456816535673
2012-11,0.10895082827718738
2012-12,-0.49513779183240914
2013-01,-0.34872866291432913
2013-02,1.9464735552522292
2013-03,0.06951204468150252
2013-04,0.19927936890929487
2013-05,-0.2893245591946645
2013-06,-0.08323192278401592
2013-07,-0.5477152836704846
2013-08,-0.4535962984312505
2013-09,0.5141187196829158
2013-10,-0.021966815414778296
2013-11,-0.4301900559615497
2013-12,-1.020396000048322
2014-01,0.6299356202346793
2014-02,-0.024238662829933588
2014-03,0.10434058239379951
2014-04,0.3566014873878416
2014-05,0.16663913561693988
2014-06,-0.22928979503966218
2014-07,-1.1302265882228468
2014-08,0.4145664402040339
2014-09,0.03967588685504353
2014-10,0.5936077707809098
2014-11,-0.35754188450353297
2014-12,-0.012513300994186238
2015-01,-1.2345483908987198
2015-02,1.8528445000498266
2015-03,-0.372177546565414
2015-04,0.8540124295308367
2015-05,0.36663471214840726
2015-06,-1.1002384719224132
