period,residual
2002-03,0.41077887467710283
2002-04,0.19344639752392467
2002-05,0.3548089061154833
2002-06,-1.0025972500157074
2002-07,0.1214343873684065
2002-08,-0.22661399355775558
2002-09,0.5102988460727005
2002-10,0.22511404883767128
2002-11,0.2487041772561689
2002-12,-0.4857685588030556
2003-01,0.11591603673014816
2003-02,0.7705974848551378
2003-03,0.6949776551356486
2003-04,-0.5196819142734981
2003-05,0.9738553038180804
2003-06,-1.0867250309214143
2003-07,0.3104547241327502
2003-08,-0.3586283687336618
2003-09,0.7146909495635008
2003-10,-0.036571822054966674
2003-11,-0.09551427032272386
2003-12,0.04413585299109357
2004-01,0.022763281610842512
2004-02,0.3497937646848577
2004-03,1.0887832925393326
2004-04,-0.24451437543853416
2004-05,-0.018539382835278673
2004-06,-0.5411519997858711
2004-07,-0.03545597932010125
2004-08,-0.2825085702646568
2004-09,0.931239999899308
2004-10,-0.42684358557123403
2004-11,0.5712380226753702
2004-12,-0.514296896143609
2005-01,-0.7281975181541682
2005-02,1.5762884584490777
2005-03,-0.3187426256352879
2005-04,1.0904830779536603
2005-05,-0.5185575354494425
2005-06,-0.965828026929902
2005-07,0.25562710608467043
2005-08,-0.5338347089331243
2005-09,0.9592584284768684
2005-10,-0.22670074141500152
2005-11,0.05069826979411829
2005-12,-0.564149386714174
2006-01,-0.023575311629148388
2006-02,0.42360444918949014
2006-03,0.07534018675803367
2006-04,0.9980966619067857
2006-05,-1.03442433252129
2006-06,0.46143678563591095
2006-07,-0.3035867014144422
2006-08,-0.5559373290205052
2006-09,0.45181444047157626
2006-10,0.32994837434037905
2006-11,0.4578096899137307
2006-12,-0.26671753834338574
2007-01,-0.7768494044073826
2007-02,0.9802138706031336
2007-03,0.18716444612563166
2007-04,0.7184069728862887
2007-05,0.06131802225351635
2007-06,-1.247763841722815
2007-07,-0.022167414215530812
2007-08,0.18435150607736261
2007-09,-0.15112600503556095
2007-10,0.15042872607774171
2007-11,-0.0727500256099205
2007-12,-0.17772881049970835
2008-01,-0.971497812631064
2008-02,1.2162104171178143
2008-03,-0.04169491190978647
2008-04,-0.4206497902046209
2008-05,-0.023704075437894545
2008-06,-0.44865302834324083
2008-07,0.048380800427658244
2008-08,-0.38958356622344326
2008-09,0.12864455263153118
2008-10,0.47821858802589645
2008-11,-0.09963183285140786
2008-12,-0.14668795535787993
2009-01,-0.22859609913355783
2009-02,0.679214708637133
2009-03,0.508809263653454
2009-04,-0.004527886723664665
2009-05,0.6223743313904038
2009-06,-0.7224894761843217
2009-07,-0.5888576148985614
2009-08,-0.01792985731886887
2009-09,0.7477101051513699
2009-10,0.05536971983459793
2009-11,0.34862144163940556
2009-12,-0.06942253633689077
2010-01,-0.1607568402279398
2010-02,0.8829724325979917
2010-03,0.9314391527388999
2010-04,1.0558692125647227
2010-05,0.07159532394608803
2010-06,-0.652347828397069
2010-07,0.20451735342065547
2010-08,0.4862956691633791
2010-09,0.18654396228319925
2010-10,0.6281042801517351
2010-11,-0.2816673104845151
2010-12,-0.03816305663708164
2011-01,-0.30494898772804646
2011-02,-0.16722766175142922
2011-03,0.05491284606342717
2011-04,
2011-05,
2011-06,
2011-07,
2011-08,
2011-09,
2011-10,
2011-11,
2011-12,
2012-01,
2012-02,-0.2304826103969404
2012-03,1.4414854725038673
2012-04,-0.12743780910620117
2012-05,-0.49856915725029793
2012-06,-1.703046979613827
2012-07,-0.37743814291400213
2012-08,-1.2149510330580675
2012-09,0.7718030928913819
2012-10,-0.5299085039793319
2012-11,-0.15744036319992105
2012-12,-1.050462052119336
2013-01,-0.13215728667733373
2013-02,0.31959694579039777
2013-03,0.7167870980727642
2013-04,0.20896243476861542
2013-05,-0.2034991822277874
2013-06,-0.18059620071752747
2013-07,-0.3094265175886264
2013-08,-0.035755780486404376
2013-09,0.15866250223569267
2013-10,0.856100584476934
2013-11,-0.2235837799213023
